,n_components,covariance_type,bic,prev_bic,diff,change,kneedle_dist
18,1,diag,-69.28294850379875,,,,0.0
19,2,diag,-75.32112406106387,-69.28294850379875,6.03817555726512,8.715240456219975,0.27159001580334013
20,3,diag,-78.22726051932972,-75.32112406106387,2.9061364582658484,3.858328582443623,0.35645702257329764
21,4,diag,-78.93776062978925,-78.22726051932972,0.7105001104595345,0.9082512997933402,0.3104266131084278
22,5,diag,-79.885800868459,-78.93776062978925,0.9480402386697477,1.200997128758147,0.2785576512192789
23,6,diag,-80.29854710833233,-79.885800868459,0.4127462398733286,0.5166703411448074,0.21477602699947282
24,7,diag,-80.27664280994748,-80.29854710833233,-0.02190429838485386,-0.027278573739699604,0.12508180915735895
25,8,diag,-81.03011610215259,-80.27664280994748,0.7534732922051148,0.9385959176057476,0.08161333508015295
26,9,diag,-81.14375825246687,-81.03011610215259,0.11364215031427705,0.14024680671938233,0.0
