,k,mean_stability,ci_lower,ci_upper
0,1,1.0,1.0,1.0
1,2,0.7186224286916351,0.6693518713204374,0.7800213675213675
2,3,0.5404027917618771,0.5058960292580982,0.5775892857142857
3,4,0.4510644019742067,0.41169833405923345,0.47963907541322315
4,5,0.38618725885478994,0.35626030219780214,0.4128414322250639
5,6,0.33473194355118857,0.3112566509524991,0.35264936294765836
6,7,0.2950475005342643,0.2780037294905604,0.31329742208541744
7,8,0.26411451131009034,0.24582551594746715,0.27807224659775415
8,9,0.2405684068832771,0.22558787601160482,0.25195865931341116
