0	1	31.70881	15	60	100	19.36000	60.00000	6
1	22	31.71720	15	60	69	27.39130	60.00000	11
2	52	31.64398	17	60	117	25.67521	60.00000	12
3	84	0.11987	60	60	81	23.33333	60.00000	7
4	106	0.11987	60	60	81	23.33333	60.00000	7
5	131	0.11987	60	60	81	23.33333	60.00000	7
6	133	0.11987	60	60	81	23.33333	60.00000	7
7	166	30.93771	22	60	119	20.40336	60.00000	26
8	174	0.11987	60	60	100	19.36000	60.00000	6
9	178	0.11987	60	60	81	23.33333	60.00000	7
10	179	0.11987	60	60	105	17.14286	60.00000	21
11	205	31.76200	15	60	103	29.00971	60.00000	27
12	221	0.11987	60	60	81	23.33333	60.00000	7
13	232	31.72366	18	60	93	25.97849	60.00000	25
14	240	31.60953	18	60	93	25.97849	60.00000	25
15	241	31.76906	15	60	77	30.62338	60.00000	22
16	266	31.49883	18	60	117	25.67521	60.00000	12
17	281	0.11987	60	60	81	23.33333	60.00000	7
18	292	0.11987	60	60	100	19.36000	60.00000	6
19	296	31.59976	19	60	119	20.40336	60.00000	26
20	308	0.11987	60	60	119	20.40336	60.00000	26
21	318	0.11987	60	60	81	23.33333	60.00000	7
22	407	0.11987	60	60	100	19.36000	60.00000	6
23	409	0.11987	60	60	119	20.40336	60.00000	26
24	424	0.11987	60	60	105	17.14286	60.00000	21
25	427	30.42997	20	60	117	25.67521	60.00000	12
26	444	0.11987	60	60	105	17.14286	60.00000	21
27	445	0.11987	60	60	81	23.33333	60.00000	7
28	451	0.11987	60	60	119	20.40336	60.00000	26
29	483	0.11987	60	60	81	23.33333	60.00000	7
30	497	31.72083	17	60	89	23.03371	60.00000	18
31	529	31.50818	18	60	93	25.97849	60.00000	25
32	536	0.11987	60	60	100	19.36000	60.00000	6
33	550	0.11987	60	60	100	19.36000	60.00000	6
34	552	0.11987	60	60	105	17.14286	60.00000	21
35	604	31.76295	16	60	96	27.81250	60.00000	0
36	633	0.11987	60	60	81	23.33333	60.00000	7
37	656	31.57685	18	60	96	27.81250	60.00000	0
38	678	0.11987	60	60	81	23.33333	60.00000	7
39	680	0.11987	60	60	100	19.36000	60.00000	6
40	713	30.30900	17	60	117	25.67521	60.00000	12
41	725	31.58045	14	60	119	20.40336	60.00000	26
42	734	0.11987	60	60	105	17.14286	60.00000	21
43	758	0.11987	60	60	105	17.14286	60.00000	21
44	759	31.33735	19	60	98	24.10204	60.00000	8
45	772	0.11987	60	60	119	20.40336	60.00000	26
46	781	0.11987	60	60	119	20.40336	60.00000	26
47	782	0.11987	60	60	105	17.14286	60.00000	21
48	792	31.58144	17	60	100	19.36000	60.00000	6
49	825	0.11987	60	60	105	17.14286	60.00000	21
50	848	0.11987	60	60	119	20.40336	60.00000	26
51	852	0.11987	60	60	119	20.40336	60.00000	26
52	875	0.11987	60	60	100	19.36000	60.00000	6
53	879	30.88987	21	60	69	27.39130	60.00000	11
54	893	28.61302	24	60	119	20.40336	60.00000	26
55	912	0.11987	60	60	105	17.14286	60.00000	21
56	916	0.11987	60	60	119	20.40336	60.00000	26
57	919	31.19102	21	60	93	25.97849	60.00000	25
58	937	31.63961	16	60	81	28.39506	60.00000	9
59	950	31.65694	14	60	100	19.36000	60.00000	6
60	963	0.11987	60	60	81	23.33333	60.00000	7
61	2	0.11987	60	60	117	25.67521	60.00000	12
62	4	0.11987	60	60	117	25.67521	60.00000	12
63	6	31.13281	13	60	119	20.40336	60.00000	26
64	92	0.11987	60	60	117	25.67521	60.00000	12
